movie_id,title,genres,year,tmdb_id,imdb_id,overview,tagline,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,keywords,cast,director
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,862,tt0114709,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,7.7,5415.0,8.3,956821.0,jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life,TomHanks TimAllen DonRickles JimVarney ,JohnLasseter
2,Jumanji (1995),Adventure|Children|Fantasy,1995,8844,tt0113497,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",Roll the dice and unleash the excitement!,6.9,2413.0,7.0,334566.0,board game disappearance based on children's book new home recluse giant insect,RobinWilliams JonathanHyde KirstenDunst BradleyPierce ,JoeJohnston
3,Grumpier Old Men (1995),Comedy|Romance,1995,15602,tt0113228,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Still Yelling. Still Fighting. Still Ready for Love.,6.5,92.0,6.6,26930.0,fishing best friend duringcreditsstinger old men,WalterMatthau JackLemmon Ann-Margret SophiaLoren ,HowardDeutch
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,31357,tt0114885,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",Friends are the people who let you be yourself... and never let you forget it.,6.1,34.0,5.9,10784.0,based on novel interracial relationship single mother divorce chick flick,WhitneyHouston AngelaBassett LorettaDevine LelaRochon ,ForestWhitaker
5,Father of the Bride Part II (1995),Comedy,1995,11862,tt0113041,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,5.7,173.0,6.0,37433.0,baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist,SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley ,CharlesShyer
6,Heat (1995),Action|Crime|Thriller,1995,949,tt0113277,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",A Los Angeles Crime Saga,7.7,1886.0,8.3,629433.0,robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat and mouse criminal mastermind cult film ex-con heist movie one last job loner bank job neo-noir gun fight crime epic,AlPacino RobertDeNiro ValKilmer JonVoight ,MichaelMann
7,Sabrina (1995),Comedy|Romance,1995,11860,tt0114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",You are cordially invited to the most surprising merger of the year.,6.2,141.0,6.3,40493.0,paris brother brother relationship chauffeur long island fusion millionaire,HarrisonFord JuliaOrmond GregKinnear AngieDickinson ,SydneyPollack
8,Tom and Huck (1995),Adventure|Children,1995,45325,tt0112302,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",The Original Bad Boys.,5.4,45.0,5.5,10734.0,,JonathanTaylorThomas BradRenfro RachaelLeighCook MichaelMcShane ,PeterHewitt
9,Sudden Death (1995),Action,1995,9091,tt0114576,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",Terror goes into overtime.,5.5,174.0,5.8,34160.0,terrorist hostage explosive vice president,Jean-ClaudeVanDamme PowersBoothe DorianHarewood RaymondJ.Barry ,PeterHyams
10,GoldenEye (1995),Action|Adventure|Thriller,1995,710,tt0113189,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,No limits. No fears. No substitutes.,6.6,1194.0,7.2,252911.0,cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army,PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen ,MartinCampbell
